Pincode,Area,City,Address,Landmark,Latitude,Longitude,Category,Rating,Name
560037.0,"Lakshminarayana Pura, AECS Layout, Marathahalli",Bengaluru,26 Spice Garden Road Silver Spring Layout,"Lakshminarayana Pura, AECS Layout, Marathahalli",12.9592819,77.7095233,Restaurant,5.0,Village Restaurant
560037.0,"Vivekananda Layout, Chandra Layout, Marathahalli",Bengaluru,"17, 18, opp. Home Town","Vivekananda Layout, Chandra Layout, Marathahalli",12.952228,77.7019946,Restaurant,4.4,Flamingos Restaurant
560037.0,"Marathahalli Village, Marathahalli",Bengaluru,"4, Tulsi Theater Rd","Marathahalli Village, Marathahalli",12.9551099,77.6978572,Restaurant,1.0,Uma Bhai Restaurant
560037.0,"Marathahalli Village, Marathahalli",Bengaluru,"First Floor, Tulsi Theater Rd, opposite Tulsi Theatre","Marathahalli Village, Marathahalli",12.9563899,77.6979685,Restaurant,4.6,Majestic Mandi
560037.0,"Chandra Layout, Marathahalli",Bengaluru,"Outer Ring Road, 135, Varthur Rd","Chandra Layout, Marathahalli",12.9564537,77.7027145,Restaurant,4.2,spice up restaurant
560037.0,"R.J.Gardens, Anand Nagar, Sanjay Nagar, Marathahalli",Bengaluru,"16, AA Arcade, East Service Road, Outer Ring Rd","R.J.Gardens, Anand Nagar, Sanjay Nagar, Marathahalli",12.962007,77.7013981,Restaurant,4.2,Kothimbir
560037.0,"Marathahalli Village, Marathahalli",Bengaluru,"61, 1st Cross Rd","Marathahalli Village, Marathahalli",12.9512027,77.6947741,Restaurant,4.2,KNIGHT BITE - MARATHAHALLI
560037.0,"Ramanjaneya Layout, Aswath Nagar, Marathahalli",Bengaluru,Service Rd,"Ramanjaneya Layout, Aswath Nagar, Marathahalli",12.9594519,77.7009768,Restaurant,3.8,Ashirwad Veg
560037.0,"Manjunatha Layout, Kasavanahalli Village, Marathahalli",Bengaluru,"49, 1st Cross Rd, SGR Dental College Rd","Manjunatha Layout, Kasavanahalli Village, Marathahalli",12.9496567,77.7004491,Restaurant,5.0,No restaurant
560037.0,"Kasavanahalli Village, Marathahalli",Bengaluru,"#90/4, ""JP Royale"", 1st Floor, Above ICICI Bank, Marathahalli - Sarjapur Outer Ring Rd, opposite Innovative Multiplex","Kasavanahalli Village, Marathahalli",12.9497678,77.6997403,Restaurant,4.0,Chickpet Donne Biryani House - Marathahalli
