Station_Name,Code,Latitude,Longitude
ADARSHNAGAR,AHO,26.411145,74.653301
AIT,AIT,25.902996,79.229592
ANJHISHAHABAD,AJI,27.644647,79.974095
AJNI,AJNI,21.126606,79.082779
AKANAPET,AKE,18.111184,78.397115
AKOT,AKOT,21.095539,77.046617
ANGALAKUDURU,AKU,16.245408,80.609296
AKONA,AKW,25.581921,80.147117
ALER,ALER,17.645686,79.048664
ALNIYA,ALNI,25.032164,75.90909
AMBODALA,AMB,19.836005,83.456651
ALAMNAGAR,AMG,26.841674,80.868309
AMLI,AMLI,25.828069,76.2861
AMBALAPUZHA,AMPA,9.386162,76.363872
AMMASANDRA,AMSA,13.265053,76.711751
AKATHUMURI,AMY,8.700359,76.758746
ANDAMPALIAM,AND,12.088375,79.168891
ANKOLA,ANKL,14.643144,74.334724
ANPARA,ANPR,24.21678,82.766028
ANAND VIHAR,ANVR,28.648853,77.315457
ALIPURDUAR,APD,26.479051,89.521005
ARUNACHAL,ARCL,24.855729,92.742936
ARAKKU,ARK,18.333942,82.862523
ARARIYA,ARR,26.136453,87.411955
ARJANSAR,AS,28.933815,73.871922
ASHOKNAGAR,ASKN,24.579712,77.727724
ASAOTI,AST,28.251493,77.324376
ALATTAMBADI,ATB,10.605294,79.640144
AITHAL,ATMO,29.807606,78.043358
ATTABIRA,ATS,21.387287,83.791201
ANUGRAHAN ROAD,AUBR,24.855765,84.330075
AVADI,AVD,13.118066,80.101165
AWASANI,AWS,27.162915,84.052783
AIYANAPURAM,AYN,10.78773,78.938637
ASALPURJOBNER,JOB,26.900324,75.424321
ADRA,ADRA,23.495592,86.674285
AHMEDABAD,ADI,23.025119,72.601279
ALIPURDUAR JUNCTION,APDJ,26.4859,89.541571
ALWAR,AWR,27.559721,76.621546
AMLA,AMLA,21.920235,78.125403
ANUPPUR,APR,23.117598,81.696126
ASANSOL,ASN,23.691278,86.974787
AZAMGARH,AMH,26.039105,83.161672
ANGADIPPURAM,AAM,10.981555,76.208746
AMBUR,AB,12.78359,78.721825
AMBARNATH,ABH,19.210144,73.184426
AMBALE,ABLE,18.414066,74.186878
ACHALGANJ,ACH,26.441921,80.550926
ADARI ROAD,ADE,20.987406,70.330496
ADHARTAL,ADTL,23.227919,79.97276
ATELI,AEL,28.1004,76.253512
AGASOD,AGD,24.234149,78.217236
AGARTALA,AGTL,23.792956,91.278539
AHMADGARH,AHH,30.683494,75.829218
ADIPUR,AI,23.076704,70.078321
AJGAIN,AJ,26.617536,80.621225
AJIT,AJIT,25.859762,72.677478
AJJAMPUR,AJP,13.730951,76.010482
AKBARGANJ,AKJ,26.532025,81.502107
AKOLNER,AKR,18.985631,74.669137
ANKLESHWAR JUNCTION,AKV,21.624618,73.001188
ATTILI,AL,16.680061,81.61635
ALAKKUDI,ALK,10.777515,79.053162
ARIYALUR,ALU,11.150643,79.068576
AMBIKAROHINA,AMBR,18.442319,76.944068
AMRAVATI,AMI,20.931763,77.757791
ATIRAMPATTINAM,AMM,10.331797,79.384894
AMMUGUDA,AMQ,17.486215,78.527036
AMMAPET,AMT,10.780023,79.310875
ASLANA,ANA,23.860398,79.31933
ANKORAHAKORHA,ANH,24.76129,84.169886
ARANGMAHANADI,ANMD,21.189436,81.95576
ANARA,ANR,23.48036,86.559291
AONLA,AO,28.295924,79.169218
ANUPGARH,APH,29.19696,73.204573
ANAPARTI,APT,16.935932,81.953091
AMARDA ROAD,ARD,21.734068,87.102235
ARAND,ARN,21.102343,82.181867
ARNI ROAD,ARV,12.631173,79.209215
ASIFABAD ROAD,ASAF,19.256775,79.416848
ASLAODA,ASL,23.23082,75.607682
ASARVA JUNCTION,ASV,23.043837,72.612582
ATARRA,ATE,25.29109,80.576882
ARANTANGI,ATQ,10.172275,79.003763
ATARI,ATT,31.594335,74.606813
ATRAULI ROAD,AUR,28.096238,78.219413
ARAVANKADU,AVK,11.359543,76.769668
ALLURU ROAD,AXR,14.710465,79.988955
ARYANKAVU,AYV,8.981239,77.152782
ACHALPUR,ELP,21.277255,77.518844
ANAND NAGAR,ANDN,27.098794,83.269707
BAGALKOT,BGK,16.178841,75.700348
BALAGHAT JUNCTION,BTC,21.811604,80.199839
BANARHAT,BNQ,26.798523,89.025729
BANDRA TERMINUS,BDTS,19.062371,72.841102
BANKURA,BQK,23.224448,87.074685
BARAUNI JUNCTION,BJU,25.461971,85.987476
BAREILLY,BE,28.337106,79.410776
BARMER,BME,25.744859,71.397504
BASTI,BST,26.815549,82.769975
BELAPUR,BAP,19.019266,73.039244
BETUL,BZU,21.897007,77.906219
BHARATPUR,BTE,27.236697,77.488328
BHATNI,BTT,26.381471,83.934406
BHIMAVARAM TOWN,BVRT,16.547519,81.519014
BHOPAL,BPL,23.267182,77.413378
BIJAPUR,BJP,16.830611,75.73952
BINA,BINA,24.171089,78.183376
BOBBILI,VBL,18.577562,83.346671
BOTAD,BTD,22.182974,71.665694
BURHWAL,BUW,27.085951,81.38993
BHADER,BADR,21.364897,70.928745
BAJANA,BAJN,23.10255,71.773643
BALE,BALE,17.676205,75.845306
BIRAMBAD,BAMA,26.923677,77.322865
BATALA JUNCTION,BAT,31.821592,75.194483
BARAN,BAZ,25.095811,76.506041
BABARPUR,BBDE,29.449884,76.9664
BABUGARH,BBO,28.747202,77.855702
BHABUA ROAD,BBU,25.173068,83.619398
BANSDIH ROAD,BCD,25.811289,84.214978
,,,
BICHPURI,BCP,27.176507,77.914447
BODELI,BDE,22.269797,73.716581
BODHAN,BDHN,18.646141,77.888353
BADAMI,BDM,15.959225,75.676939
BIDANPUR,BDNP,25.583067,81.446038
BANDANWARA,BDW,26.125369,74.691398
BADEARAPUR,BDXX,19.011037,81.838024
BELDANGA,BEB,23.932191,88.243388
BEOHARI,BEHR,24.000431,81.379546
BHEERPUR,BEP,25.26516,81.989259
BARETH,BET,23.915333,77.999902
BHORAS BUDRUKH,BFJ,20.521272,75.013065
BHONGIR,BG,17.524667,78.899011
BANTA RAGHUNATHGARH,BGG,25.602347,73.527544
BAGUMRA,BGMR,21.148899,72.997632
BAGHNAPARA,BGRA,23.241602,88.329366
BHAGTANWALA,BGTN,31.60894,74.864486
BAGEWADI,BGWD,16.307351,74.753281
BHESTAN,BHET,21.127879,72.861391
BHURKUNDA,BHKD,23.637074,85.371676
BHANDARIDAH,BHME,23.755771,86.066867
BHATIYA,BHTA,22.088622,69.280868
BHATPAR RANI,BHTR,26.309804,84.032443
BARHARWA JUNCTION,BHW,24.857858,87.774612
BHILAI,BIA,21.202317,81.421391
BELGAHNA,BIG,22.430943,82.032024
BILDI,BILD,23.225089,74.918151
BORDI,BIO,22.866626,74.347126
BIR,BIR,22.052531,76.547495
BISALWASKALAN,BIWK,24.50028,74.783301
BAREJADI,BJD,22.894886,72.67738
BIJORA,BJK,25.144906,76.395491
BIJURI,BJRI,23.250553,82.119186
BHIKAMKOR,BKC,26.805916,72.788044
BARKUR,BKJ,13.477527,74.759706
BINDKI ROAD,BKO,26.116872,80.580832
BHIKNUR,BKU,18.163907,78.398457
BHILDI,BLDI,24.194677,72.008695
BALURGHAT,BLGT,25.233235,88.757835
BALAMU JUNCTION,BLM,27.167421,80.352479
BHALWANI,BLNI,18.210559,75.207111
BADULIPAR,BLPR,26.647401,93.874599
BOLSA,BLSA,19.001669,77.70355
BELTHARA ROAD,BLTR,26.121111,83.841496
BOLAI,BLX,23.361567,76.486971
BHIMALGONDI,BMC,21.725118,78.91024
BHIMGARA,BMGA,23.738349,87.284626
BAMNIA,BMI,23.096056,74.758775
BHIMANA,BMN,24.595924,72.886734
BHIMARLAI,BMQ,25.893261,71.882277
BEGAMPET,BMT,17.438587,78.458111
BINAUR,BNAR,26.401019,80.175205
BARNAGAR,BNG,23.060772,75.376832
BUDNI,BNI,22.786494,77.681137
BARNALA,BNN,30.370792,75.549683
BHAGWANPUR,BNR,25.859098,85.301508
BANTAWALA,BNTL,12.877686,75.034131
BHIWANI CITY,BNWC,28.825315,76.144008
BANGROD,BOD,23.398083,75.123626
BHOKE,BOKE,17.049035,73.381016
BAGHDOGRA,BORA,26.698091,88.324348
BOLARUMBAZAR,BOZ,17.517613,78.515687
BAHADURPUR,BPD,23.439088,88.463812
BHUGAON,BPK,20.67375,78.669839
BHOGPURSIRWAL,BPRS,31.556373,75.644967
BARELIPUR,BQM,22.05212,78.408621
BHILAINAGAR,BQR,21.200917,81.333932
BARANG,BRAG,20.401061,85.832807
BHARWARI,BRE,25.559129,81.491795
BARGAWAN,BRGW,24.196977,82.456446
BRAYLACHAURASI,BRLA,23.555284,75.092559
BERMO,BRMO,23.772763,85.956202
BORIDAND,BRND,23.267616,82.178087
BIYAVRARAJGARH,BRRG,23.936418,76.907503
BORVIHIR,BRVR,20.784102,74.841226
BANSHBARIA,BSAE,22.95748,88.395362
BHUPALSAGAR,BSJ,24.847403,74.211337
BANSIPUR,BSQP,25.151102,86.130676
BASAR,BSX,18.865689,77.938932
BIHTA,BTA,25.561336,84.87554
BHARATKUND,BTKD,26.635673,82.126981
BHITAURA,BTO,28.470115,79.306471
BUTARI,BTR,31.556094,75.183218
BARSI TOWN,BTW,18.240988,75.718083
BARADWAR,BUA,22.011814,82.813674
BUNDI,BUDI,25.408503,75.651265
BOMMASAMUDRAM,BUM,13.044759,79.176468
BURNPUR,BURN,23.672448,86.939105
