Pincode,Area,City,Address,Landmark,Latitude,Longitude,Category,Rating,Name
411038,"Mahaganesh Colony, Kothrud",Pune,"Shubhay Banglow Plot 6, Hill View Society, Paud Rd, near Chaitanya Paratha","Mahaganesh Colony, Kothrud",18.5089982,73.8218193,Gym,4.9,MM Yoga
411052,"Warje Jakat Naka, Hingane Home Colony, Karve Nagar",Pune,"BLOCK-B, Warje Malwadi Rd","Warje Jakat Naka, Hingane Home Colony, Karve Nagar",18.4876852,73.8133695,Gym,4.1,Wild Card Fitness Club
411038,"Bhelkenagar, Kothrud",Pune,"2 floor, bhelake complex, near yashwant rao chavan natya gruh","Bhelkenagar, Kothrud",18.5022328,73.8109869,Gym,5.0,Bicep Busters
411052,"Navasahyadri Society, Ganesh Nagar, Karve Nagar",Pune,"Medhavi Bunglow, Tol hospital chowk Rickshaw Stand Lane","Navasahyadri Society, Ganesh Nagar, Karve Nagar",18.4959575,73.8289389,Gym,4.9,Myofit Gym/Personal Training/Yoga Studio
411038,"Jijai Nagar, Kothrud",Pune,"Vardhaman Jain STHANK HALL KASHIKAPADI PURAM, near DOMINO'S PIZZA, behind EKLAVYA COLLEGE","Jijai Nagar, Kothrud",18.5018772,73.7954456,Gym,4.9,Divya Yoga Studio
411038,"Shree Colony, Azad Nagar, Kothrud",Pune,"Auditorium, Gananjay Society Unit No 1 Road","Shree Colony, Azad Nagar, Kothrud",18.5033805,73.8061973,Gym,4.9,Aanand yog kothrud
411038,"Rambaug Colony, Kothrud",Pune,"GR78+Q4R, Vishwashanti Marg","Rambaug Colony, Kothrud",18.514498,73.8152776,Gym,3.9,Green Box Astro Turf
411029,"Mahaganesh Colony, Kothrud",Pune,"127/3-C, Asawari Hsg Soc, Behind Zala Apts, Near Karve Road, Kothrud","Mahaganesh Colony, Kothrud",18.5070282,73.8203728,Gym,5.0,Dr Rahalkar's Pregcare and Healthcare
411052,"Dnydeep Colony, Hingne Budrukh, Karve Nagar",Pune,"64, Trimurti Niwas, Sr No 23, Hind Swaraj Chowk","Dnydeep Colony, Hingne Budrukh, Karve Nagar",18.490151,73.81720299999999,Gym,4.1,Trimurti Gym
411052,Warje,Pune,"Near Yuvak Mitra Mandal, Karvenagar, NDA Road, Vadacha Stop, Pune 411052",Warje,18.4763463,73.79677149999999,Gym,4.5,Fitness Centre and Gym-Real Fitness Club
411038,"Chaitanya Nagar, Kothrud",Pune,The Leanlife Woodland society,"Chaitanya Nagar, Kothrud",18.4981887,73.8042507,Gym,5.0,The Lean Life
411052,"Sahu Colony, Karve Nagar",Pune,Sangunabai Bhoj Path,"Sahu Colony, Karve Nagar",18.486586,73.8153497,Gym,4.0,Zeus Fitness Zone
411038,"Mayur Colony, Kothrud",Pune,"Jain Sthanak Bhavan Mayur colony in front of Durga Caffe Jain Sthanak Bhavan, in front of Durga Caffe","Mayur Colony, Kothrud",18.5055227,73.81716,Gym,4.7,PUNE FITNESS ACADEMY
411038,"LIC Colony, Shastri Nagar, Kothrud",Pune,"41, Paud Rd","LIC Colony, Shastri Nagar, Kothrud",18.5109289,73.81813609999999,Gym,5.0,Dragon Mma Gym
411016,"Sheti Mahamandal Colony, Patrakar Nagar, Gokhalenagar",Pune,"Samaj Mandir (Hanuman nagar Ganapati Mandir), Senapati Bapat Rd","Sheti Mahamandal Colony, Patrakar Nagar, Gokhalenagar",18.5237172,73.82707529999999,Gym,4.6,Spa Fitness
411021,"Sagar Co-Operative Housing Society, Bavdhan",Pune,"Dr. Homi Bhabha Rd, opp. Bank Of Maharashtra","Sagar Co-Operative Housing Society, Bavdhan",18.5151246,73.781853,Gym,4.2,Gold's Gym Bavdhan
411058,Warje,Pune,"5th, Snehadeep Complex, Near, Warje Flyover",Warje,18.4795601,73.8043261,Gym,4.4,H Factor Health and Fitness
411058,"Shastri Nagar, Kothrud",Pune,"Healthy Home Aashish plaza Pune, 411038","Shastri Nagar, Kothrud",18.5025284,73.8026138,Gym,3.8,HealthyHome24'7FIT
411038,"Kothrud Industrial Area, Kothrud",Pune,"17, Haribhau Sane Krida Sankul, near Joshi Museum of Miniature Railways","Kothrud Industrial Area, Kothrud",18.502211,73.8236584,Gym,4.4,Sanmitra Sangha
411004,"Bhageerath, Erandwane",Pune,Kishor Bhagirath Tapadia Rd,"Bhageerath, Erandwane",18.5090354,73.8330241,Gym,4.6,Aayush fitness and slimming centre
411038,"Rambaug Colony, Kothrud",Pune,Paud Rd,"Rambaug Colony, Kothrud",18.5162816,73.81763099999999,Gym,4.8,Nirvana Yoga
411038,Kothrud,Pune,"Narayani Building, Kothrud, Opposite Sahayanand Bus Stop, Kothrud",Kothrud,18.5086606,73.8125444,Gym,1.0,Avenue Fitness Centre
411038,"Bhusari Colony, Kothrud",Pune,GQ6R+GG2,"Bhusari Colony, Kothrud",18.5112533,73.7912674,Park,4.4,Pandit Bhimsen Joshi Udyan
411038,"Dahanukar A, Dahanukar Colony, Kothrud",Pune,28/12,"Dahanukar A, Dahanukar Colony, Kothrud",18.4996602,73.812302,Park,4.1,Bal Vikas Kendra Park
411038,"Anupam Park, Paschimanagri, Kothrud",Pune,62,"Anupam Park, Paschimanagri, Kothrud",18.4999985,73.8186511,Park,3.8,Anupam Park
411038,"Mayur Colony, Kothrud",Pune,"Shivaji Maharaj Statue, DP Rd, Next to Yashwantrao Natyagruha","Mayur Colony, Kothrud",18.5022954,73.8132337,Park,4.4,Thorat Garden
411038,"Shastri Nagar, Kothrud",Pune,GR43+574,"Shastri Nagar, Kothrud",18.5053845,73.80318849999999,Park,3.9,Nana Nani Park
411038,"Anand Nagar, Kothrud",Pune,"7, 9","Anand Nagar, Kothrud",18.5092535,73.81539289999999,Park,4.0,Anand Nagar Park 7
411038,"Mayur Colony, Kothrud",Pune,GR39+Q9V,"Mayur Colony, Kothrud",18.504495,73.8184263,Park,4.0,Mayur Colony Residents Park
411038,"Anant Kurpa Society, Lokmanya Colony, Kothrud",Pune,"S. No. 116, Rahul Park, Street 8A, Paud Rd, near Utsav Sabhagruha","Anant Kurpa Society, Lokmanya Colony, Kothrud",18.5098677,73.8071669,Hostel,4.0,Rahul Park
411038,Kothrud,Pune,"GQ2W+QW3, Mangaldham Society",Kothrud,18.5018846,73.79728759999999,Park,4.828994270162344,Trimiti Park
411038,"Mayur Colony, Kothrud",Pune,"Shop no 3, Aishwarya Complex","Mayur Colony, Kothrud",18.5049483,73.8127445,Park,3.9,Nilu Phule garden
411038,"Paud Road, Bhusari Colony, Kothrud",Pune,B5,"Paud Road, Bhusari Colony, Kothrud",18.5092379,73.79337919999999,Park,4.0,Community Playground
411038,"Mayur Colony, Kothrud",Pune,14/A,"Mayur Colony, Kothrud",18.5047715,73.8137213,Park,3.6,Sutar Udyan
411029,"Mahatma Society, Kothrud",Pune,"GQ2W+2WF, Kamdhenu Siddhi Rd","Mahatma Society, Kothrud",18.5000738,73.79728469999999,Park,1.161294594734189,Children Park
411038,"Paschimanagri, Kothrud",Pune,"Near, Anupam Complex Rd","Paschimanagri, Kothrud",18.4980603,73.81635849999999,Park,3.5,Jitendra Abhisheki Garden
411038,"Paschimanagri, Kothrud",Pune,GR29+H38,"Paschimanagri, Kothrud",18.501401,73.817713,Park,4.0,Vitthal Rakhmai Park
411058,"Vrindavan Colony, Alkapuri Society, Kothrud",Pune,GR44+GJ4,"Vrindavan Colony, Alkapuri Society, Kothrud",18.5062743,73.8065724,Park,4.2,Late Sachin Angre Udyan
411038,"Krutika Co-operative Housing Society, Tejas Society, Dahanukar Colony, Kothrud",Pune,"amit park, behind Mantri Park, near Kothrud Stand","Krutika Co-operative Housing Society, Tejas Society, Dahanukar Colony, Kothrud",18.4986677,73.80996209999999,Hostel,4.1,Amit Park
411038,"Pramathesh Housing Society, Jijai Nagar, Kothrud",Pune,1,"Pramathesh Housing Society, Jijai Nagar, Kothrud",18.4987474,73.7935877,Park,4.3,Jijamata Udyan
411038,"Mangaldham Society, Mahatma Society, Kothrud",Pune,GQ2X+P9W,"Mangaldham Society, Mahatma Society, Kothrud",18.5018702,73.7984622,Hostel,4.2,Soba Park
411038,"Dahanukar Colony, Kothrud",Pune,FRW6+5P9,"Dahanukar Colony, Kothrud",18.4954122,73.8118501,Park,1.0,कै वामनराव डहाणूकर उद्यान
411038,"Mayur Colony, Kothrud",Pune,P-16,"Mayur Colony, Kothrud",18.503137,73.81598199999999,Park,4.0,Mrityunjay Garden
411058,"Bhelkenagar, Kothrud",Pune,GR36+C9R,"Bhelkenagar, Kothrud",18.5036034,73.8108817,Hostel,3.8,Bhelke Park
411038,"Bharti Nagar, Kothrud",Pune,"Off, DP Rd","Bharti Nagar, Kothrud",18.5053565,73.7962111,Hostel,5.0,Pooja Park Society
411038,"Bhusari Colony, Kothrud",Pune,"4 - ka Sudarshan park,Right, Paud Rd","Bhusari Colony, Kothrud",18.5124901,73.79204539999999,Hostel,4.4,SUDARSHAN PARK
411038,"Paud Road, Bhusari Colony, Kothrud",Pune,"GQ4R+6GW, Siddharth Park,","Paud Road, Bhusari Colony, Kothrud",18.5056075,73.7913178,Hostel,4.0,Siddharth Park
411038,"Paud Road, Bhusari Colony, Kothrud",Pune,Plot 125,"Paud Road, Bhusari Colony, Kothrud",18.5099669,73.7937917,Hostel,3.1692046464666586,Neha Park
411038,"Bhusari Colony, Kothrud",Pune,96/206,"Bhusari Colony, Kothrud",18.5119718,73.7916979,Hostel,2.8271810909177617,Richmond Park Bhusari Colony
411038,"Ideal Colony, Kothrud",Pune,Saraswati Park,"Ideal Colony, Kothrud",18.5070021,73.8162206,Hostel,3.9,"Saraswati Park,"
411038,"LIC Colony, Rambaug Colony, Kothrud",Pune,"GR78+JPQ, Vishwashanti Marg","LIC Colony, Rambaug Colony, Kothrud",18.5140776,73.8168639,Park,4.1,Sant Dnyaneshwar Udyan
