Area,Latitude,Longitude
Koregaon Park,18.5377173,73.8929915
Aundh,18.5618834,73.8101957
Viman Nagar,18.5653748,73.91028172
Kothrud,18.5038889,73.807673
Pimple Saudagar,18.5981553,73.7977661
Magarpatta City,18.5111545,73.92738227
Dhankawadi,18.4652208,73.8495579
Hinjewadi,18.5904611,73.7388358
Kalyani Nagar,18.5481382,73.9025513
Talawade,18.6647203,73.7849696
Balewadi,18.5820266,73.7689831
