Area,Latitude,Longitude
Gomti Nagar,26.8528761,80.9988505
Hazratganj,26.8475285,80.94320027
Mahanagar,26.8829,80.9469
Indira Nagar,26.8823182,80.9900344
Aliganj,26.90515,80.9479913
Amar Shaheed Path,26.8740908,81.0205541
Alambagh,26.8139516,80.9077973
Jankipuram,26.9358534,80.9342554
Ashiyana,26.799559,80.917397
Mall Avenue,26.8376,80.9469
Governer House,26.8409,80.9463
