Pincode,Area,City,Address,Landmark,Latitude,Longitude,Category,Rating,Name
208011,"karampur, Deoki Nagar, Yashoda Nagar",Kanpur,"H.3, 80 Feet Rd, opposite sarswati Vidya Mandir inter College","karampur, Deoki Nagar, Yashoda Nagar",26.4057225,80.34166379999999,Restaurant,5.0,Apna tiffin services
208011,"S Block, Yashoda Nagar",Kanpur,"128/622, 128","S Block, Yashoda Nagar",26.4085439,80.3283826,Tiffin,4.2,Mahi ashu tiffin services
208022,"Neemeshwar MahaMandir Society, Ratan Lal Nagar",Kanpur,"974, state bank colony","Neemeshwar MahaMandir Society, Ratan Lal Nagar",26.4433733,80.2864786,Tiffin,4.8,Maa Durga Tiffin Service
208005,"Vijay Nagar, Shastri Nagar",Kanpur,3,"Vijay Nagar, Shastri Nagar",26.4658739,80.2924129,Tiffin,4.7,Tiffin Planet
208022,"Ambedkar Nagar, Gujaini",Kanpur,EWS 229,"Ambedkar Nagar, Gujaini",26.438535,80.2697878,Tiffin,5.0,Banke Bihari tiffin services
208024,"Vikas Nagar, Khyora",Kanpur,"Gurudev chauraha, Zoo Rd, nearby modern bakery kushwaha auto centre","Vikas Nagar, Khyora",26.4934878,80.2863601,Tiffin,1.0,Ghar ka khana Tiffin Services
208013,"Ram Puram, Chanakyapuri, Shyam Nagar",Kanpur,L I G 110/111,"Ram Puram, Chanakyapuri, Shyam Nagar",26.4096615,80.3688025,Restaurant,4.0,Akshit food and tiffin service
208013,"C Block, Shyam Nagar",Kanpur,888,"C Block, Shyam Nagar",26.421068,80.3607613,Tiffin,5.0,MAHAKAAL TIFFIN SERVICE
208001,Civil Lines,Kanpur,"16, 4",Civil Lines,26.4770825,80.35775749999999,Tiffin,5.0,NV tiffin & water service
208005,"L Block, Navin Nagar, Kakadeo",Kanpur,117/L/342,"L Block, Navin Nagar, Kakadeo",26.4751743,80.2910536,Tiffin,5.0,Dabbawala.Kanpur
208007,"Rameshwar Dham, New Sabzi Mandi, Lal Bangla, J K Puri",Kanpur,N 2 Area,"Rameshwar Dham, New Sabzi Mandi, Lal Bangla, J K Puri",26.4206392,80.3936817,Tiffin,4.6,Tiffin Service
208004,"Jagai Purwa, Lal Bangla, Kanpur Cantonment",Kanpur,17,"Jagai Purwa, Lal Bangla, Kanpur Cantonment",26.4286726,80.3793733,Tiffin,5.0,Tiffin Services
208014,"Keshav Nagar, Juhi Kalan, Saket Nagar",Kanpur,127/ 589 Saket nagar,"Keshav Nagar, Juhi Kalan, Saket Nagar",26.4314654,80.31465399999999,Restaurant,3.8,Tandon Tiffin Service
208017,"Keshavpuram, Kalyanpur",Kanpur,"Avas Vikas, 1","Keshavpuram, Kalyanpur",26.4912924,80.2581081,Tiffin,5.0,Shree Laxmi Narayan Tiffin & Catering Services in Kanpur
208025,"Chhapeda Pulia, Shivpuri, Rajivpuram, Kakadeo",Kanpur,"117/P1/169, near Kamleshwaram Guest House","Chhapeda Pulia, Shivpuri, Rajivpuram, Kakadeo",26.481016,80.28473369999999,Tiffin,5.0,KG Kitchen
208013,"C Block, Shyam Nagar",Kanpur,"H.No, 401, near pragya lane","C Block, Shyam Nagar",26.4202541,80.3628344,Tiffin,4.8,Maa Pitambara boy's paying guest (p.g)/tiffin services.
208021,"Sanjay Nagar, Naubasta",Kanpur,"Co no 87, Machhariya Rd","Sanjay Nagar, Naubasta",26.4092565,80.3199992,Tiffin,3.5,Ayush Pandit Tiffin Service
208021,"Sanjay Gandhi Nagar, Naubasta",Kanpur,289,"Sanjay Gandhi Nagar, Naubasta",26.4114952,80.3111747,Tiffin,4.0,Tiffin Junction (Tiffin Service)
208007,"Shiv Katra, HARJINDER",Kanpur,House Number 294,"Shiv Katra, HARJINDER",26.4192879,80.3814847,Tiffin,4.0,Aman Tiffin Services
208022,"Neemeshwar MahaMandir Society, Ratan Lal Nagar",Kanpur,"4/M/7, Dabauli - Gadarian Purwa Marg","Neemeshwar MahaMandir Society, Ratan Lal Nagar",26.4438707,80.2841132,Tiffin,5.0,Trapti Tiffin Service
208011,"E Block, Kidwai Nagar",Kanpur,128/182,"E Block, Kidwai Nagar",26.43338,80.3302099,Tiffin,4.9,Sadhana's kitchen
208017,"Awas Vikas, Kalyanpur",Kanpur,G-631,"Awas Vikas, Kalyanpur",26.4873523,80.2712959,Tiffin,4.8,VANDU TIFFIN SERVICE
208021,"Hanspuram, Naubasta",Kanpur,"Aman Medical Store, 5D Awas Vikas Hanspuram, Naubasta Near by A.V.Office, Road /Lane","Hanspuram, Naubasta",26.3966584,80.329493,Tiffin,4.0,Maa Durga Tiffin Service
208027,"Karrhi, Barra World Bank, Barra",Kanpur,Karrahi Rd,"Karrhi, Barra World Bank, Barra",26.4196942,80.3006181,Tiffin,4.9,Anurag Tiffin And Catering Services
208020,Shatabdi Nagar,Kanpur,G block 19/4,Shatabdi Nagar,26.4818308,80.2159013,Tiffin,4.6,Poorvi Tiffin Service
208017,"Avas Vikas-1, Kailash Vihar, Kalyanpur",Kanpur,H499,"Avas Vikas-1, Kailash Vihar, Kalyanpur",26.4915118,80.2511246,Tiffin,1.0,Family tiffin service
208001,"Lokman Mohal, Bhusa Toli, General Ganj",Kanpur,"68/56, Canal Rd","Lokman Mohal, Bhusa Toli, General Ganj",26.4632755,80.3594165,Tiffin,5.0,PANTU TIFFIN SERVICE (PTS)
