Area,Latitude,Longitude
Marathahalli,12.9552572,77.6984163
Jayanagar,12.9292731,77.5824229
Indiranagar,12.9732913,77.6404672
HSR Layout,12.9732913,77.6404672
Whitefield,12.9696365,77.7497448
Koramangala,12.9340114,77.6222304
BTM Layout,12.9151772,77.6102821
Electronic City,12.8487599,77.64825296
Bellandur,12.93103185,77.6782471
Bannerghatta,12.8555389,77.5887327
